"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"8WAWQV46","webpage","","","","","","","","","","","2026-03-09 11:37:25","2026-03-09 11:37:25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BANX3GS6","webpage","2025","APRI, Lidet Tadesse Shiferaw","Europe and Africa at 25: partnership in an age of shared vulnerability","APRI","","","","https://afripoli.org/europe-and-africa-at-25-partnership-in-an-age-of-shared-vulnerability","For the first time, both regions share a sense of vulnerability, creating an opening to overcome long-standing ‘othering’ and build a more equal, mutually relevant partnership.","2025-12-17","2026-03-10 08:15:28","2026-03-24 09:16:55","2026-03-10 08:14:59","","","","","","","Europe and Africa at 25","","","","","","","en","","","","","","","","","/Users/aprilt24/Zotero/storage/B6F9JGR5/APRI - 2025 - Europe and Africa at 25 partnership in an age of.html","","Europe and Africa; AU-EU Summit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XA9DBAM3","webpage","2026","APRI, Amandine Gnanguênon, Daouda Thiam, Elie Herzog","Africa+1 summits: a closer look at the geometry of global diplomacy","APRI","","","","https://afripoli.org/africa1-summits-a-closer-look-at-the-geometry-of-global-diplomacy","The expansion of Africa+1 summitry mirrors both intensified global competition for influence in Africa and a gradual strengthening of African agency","2026-01-26","2026-03-10 08:15:28","2026-03-24 09:13:28","2026-03-10 08:14:10","","","","","","","Africa+1 summits","","","","","","","en","","","","","","","","","/Users/aprilt24/Zotero/storage/FFRGQPJR/APRI - 2026 - Africa 1 summits a closer look at the geometry of.html","","Africa+1 summits; global diplomacy; diversify partnership","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SDZPU7J3","webpage","2025","APRI, Nebahat Tanrıverdi Yaşar","Turkey's strategic push for Africa's minerals and potential EU collaboration","APRI","","","","https://afripoli.org/turkeys-strategic-push-for-africas-minerals-and-potential-eu-collaboration","This paper explores Turkey’s expanding footprint in Africa’s critical minerals sector and proposes pathways for EU–Turkey–Africa cooperation to reduce fragmentation and advance African priorities.","2025-06-18","2026-03-10 08:16:57","2026-03-24 09:31:32","2026-03-10 08:16:25","","","","","","","","","","","","","","en","","","","","","","","","/Users/aprilt24/Zotero/storage/7A29VU9K/APRI - 2025 - Turkey's strategic push for Africa's minerals and.html","","critical raw materials; crm; EU; Trilateral partnership; Turkey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z848WI8M","webpage","2025","APRI, E. D. Wala Chabala, Judy Hofmeyr","A game changer in flux: recent developments and risks in the Lobito corridor","APRI","","","","https://afripoli.org/a-game-changer-in-flux-recent-developments-and-risks-in-the-lobito-corridor","Hailed as a transformative route for critical raw materials, the Lobito Corridor promises significant economic benefits. However, the Corridor faces scrutiny over risks of modern resource plundering and the enforcement of ethical and sustainable practices.","2025-05-05","2026-03-10 08:16:57","2026-03-24 09:10:47","2026-03-10 08:16:24","","","","","","","A game changer in flux","","","","","","","en","","","","","","","","","/Users/aprilt24/Zotero/storage/9J36IR44/APRI - 2025 - A game changer in flux recent developments and ri.html","","Lobito corridor; Critical raw materials; CRM; DRC; Zambia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CD3DBIT4","webpage","2025","APRI, Bhaso Ndzendze, Amandine Gnanguênon","Beyond extraction: Africa’s strategic leverage in the EU-BRICS+ critical minerals nexus","APRI","","","","https://afripoli.org/beyond-extraction-africas-strategic-leverage-in-the-eu-brics-critical-minerals-nexus","BRICS+ could become a major global player in minerals, but internal rivalries and weak governance limit its ability to coordinate effectively.","2025-12-15","2026-03-10 08:16:57","2026-03-24 09:15:22","2026-03-10 08:16:29","","","","","","","Beyond extraction","","","","","","","en","","","","","","","","","/Users/aprilt24/Zotero/storage/NKPSB5TR/APRI - 2025 - Beyond extraction Africa’s strategic leverage in.html","","South Africa; BRICS; Critical raw materials; CRM; EU-BRICS+; Egypt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J89K68NC","webpage","2025","APRI, Amandine Gnanguênon, Daouda Thiam, Emmanuel Baba Aduku","Fragmentation and Foreign Influence: Emerging Challenges to ECOWAS Integration","APRI","","","","https://afripoli.org/fragmentation-and-foreign-influence-emerging-challenges-to-ecowas-integration","External geopolitical forces influence ECOWAS's regional integration efforts, strengthening some sectors while fueling internal fragmentation and weakening collective decision-making.","2025-10-23","2026-03-10 08:16:57","2026-03-24 09:27:44","2026-03-10 08:16:28","","","","","","","Fragmentation and Foreign Influence","","","","","","","en","","","","","","","","","/Users/aprilt24/Zotero/storage/M9EWJ2R2/APRI - 2025 - Fragmentation and Foreign Influence Emerging Chal.html","","ECOWAS; regional integration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JSIHQH9B","webpage","2025","APRI","The tumultuous path toward EU-China-Africa trilateral cooperation on Critical Raw Materials in Africa","APRI","","","","https://afripoli.org/the-tumultuous-path-toward-eu-china-africa-trilateral-cooperation-on-critical-raw-materials-in-africa","Explore the opportunities for trilateral cooperation between the EU, China, and Africa in the global CRM supply chains; examine their dynamics and the potential for cooperative approaches.","2025-05-20","2026-03-10 08:16:57","2026-03-24 09:30:45","2026-03-10 08:16:26","","","","","","","","","","","","","","en","","","","","","","","","/Users/aprilt24/Zotero/storage/CVW9M8ZK/APRI - 2025 - The tumultuous path toward EU-China-Africa trilate.html","","China; EU; EU-China-Africa; trilateral partnership","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BHF37VAM","webpage","2025","APRI, Stephen Duah Agyeman, Hermas Abudu","Morocco-China-EU Relations on Green Transition Minerals","APRI","","","","https://afripoli.org/morocco-china-eu-relations-on-green-transition-minerals","This brief explores the potential for trilateral cooperation and proposes a five step policy roadmap to support Morocco’s green industrial ambition.","2025-07-08","2026-03-10 08:16:57","2026-03-24 09:32:12","2026-03-10 08:16:22","","","","","","","","","","","","","","en","","","","","","","","","/Users/aprilt24/Zotero/storage/J3SC9KQW/APRI - 2025 - Morocco-China-EU Relations on Green Transition Min.html","","china; crm; EU; morocco; Trilateral partnership","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98V67UI7","webpage","2025","APRI, Pia Beuter, Judy Hofmeyr, Lili Gabadadze, Rajneesh Bhuee, Amandine Gnanguênon","Mapping Africa’s Green Mineral Partnerships","APRI","","","","https://afripoli.org/mapping-africas-green-mineral-partnerships","This report provides a comprehensive overview of agreements on critical minerals between African states and global powers, analyzing the strategies employed to secure these vital resources for the green energy transition.","2025-01-20","2026-03-10 08:16:57","2026-03-24 09:29:15","2026-03-10 08:16:20","","","","","","","","","","","","","","en","","","","","","","","","/Users/aprilt24/Zotero/storage/PP36B6HX/APRI - 2025 - Mapping Africa’s Green Mineral Partnerships.html","","Critical raw materials; crm; Green Mineral Partnerships; MOUs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ESQFNZEU","webpage","2025","APRI, Amandine Gnanguênon, Marius Kretzschmar","From minerals to influence: Resource-for-security deals reshaping power dynamics in Africa","APRI","","","","https://afripoli.org/from-minerals-to-influence-resource-for-security-deals-reshaping-power-dynamics-in-africa","Africa’s natural resources are driving a new era of resource-for-security deals, from Russia’s private military companies to US deal-making diplomacy and China’s infrastructure-for-resources strategy.","2025-09-29","2026-03-10 08:18:29","2026-03-24 09:28:35","2026-03-10 08:18:01","","","","","","","From minerals to influence","","","","","","","en","","","","","","","","","/Users/aprilt24/Zotero/storage/84RPPTPV/APRI - 2025 - From minerals to influence Resource-for-security.html","","critical raw materials; crm; natural resources","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
